temp;Cyc1;Cyc2;Cyc3;Cyc4;Cyc5;Cyc6;Cyc7;Cyc8;Cyc9;Cyc10;Cyc14;Cyc15;Cyc16;Cyc17;Cyc18;Cyc21;Cyc22;Cyc23;Cyc24;Cyc25;Cyc26;Cyc28;Cyc29;Cyc30;Cyc31;Cyc32;Cyc34;Cyc35;Cyc36;Cyc39;Cyc40;Cyc41
90,7;1,853208209;1,827725643;1,772049287;1,636940918;1,763288973;1,703778788;1,60254943;1,716385646;2,099641413;2,056638715;1,945016658;1,647622234;2,403061195;2,230634247;2,221713588;2,108606088;1,84056502;1,772335393;1,711005863;1,711553623;1,600436643;1,517051957;1,475750871;1,3088971;1,687444368;1,484067038;1,526338162;1,404769031;1,617925829;1,56827532;1,439906702;1,223228591
90,8;1,873807889;1,756516874;1,770758628;1,693424451;1,764177685;1,723213081;1,575207904;1,70147631;2,089941035;1,932731189;1,929850115;1,646121484;2,39890898;2,211141266;2,16754406;2,083975484;1,795517369;1,744215196;1,783677933;1,744309656;1,604943923;1,486446719;1,466283011;1,365464474;1,732089723;1,513288065;1,482464841;1,430991073;1,571043463;1,534822849;1,345464256;1,180909576
90,9;1,85397116;1,807540137;1,706939585;1,655251745;1,720865539;1,709925994;1,538719768;1,758308831;2,059255868;1,953154803;1,994862796;1,638412044;2,407521524;2,24819889;2,14379085;2,07929605;1,807431144;1,722961558;1,768411645;1,66984563;1,623668923;1,527428092;1,399964396;1,36849951;1,732280461;1,525030246;1,501640345;1,421268897;1,605630579;1,538586252;1,40764477;1,209570928
91;1,802794749;1,825385926;1,78601765;1,640889819;1,784131791;1,684318581;1,620977634;1,717402914;2,030340022;1,934462501;1,916969122;1,615625238;2,373758842;2,265746766;2,096480616;2,099096448;1,784351873;1,763942931;1,774188275;1,664323317;1,636126183;1,477727278;1,426391568;1,396670012;1,664204415;1,507264384;1,53546451;1,361104753;1,688258183;1,531896805;1,360987376;1,192543425
91,1;1,82663208;1,799625567;1,736680145;1,696040284;1,716748956;1,691106533;1,561324919;1,733329519;2,014299883;1,910429541;1,966778929;1,66511142;2,460953253;2,187087346;2,148000775;2,075099819;1,758042776;1,809109636;1,710129447;1,682358028;1,607156481;1,483304087;1,432911915;1,288573536;1,644486588;1,514076448;1,482728134;1,331909158;1,557469291;1,552249434;1,379650334;1,24055848
91,2;1,919178047;1,834369186;1,728377673;1,624968455;1,686666885;1,649754584;1,545452811;1,678257654;2,057170469;1,969024186;1,926324356;1,677824826;2,407521524;2,231573264;2,109014812;2,051829811;1,734078846;1,742362315;1,698430864;1,66313166;1,62355993;1,480997068;1,425701279;1,358561583;1,665958212;1,487296864;1,488735572;1,388453616;1,634710754;1,572594797;1,400073948;1,195217387
91,3;1,866832336;1,796495511;1,704550123;1,598096437;1,770985557;1,640217695;1,630172173;1,73323415;2,064545663;1,93624272;2,043437349;1,719691768;2,329834658;2,155082526;2,068614735;2,059313998;1,771245463;1,766449771;1,640017875;1,654195351;1,569826374;1,452440899;1,448668063;1,299153124;1,640751761;1,502123547;1,4633402;1,418071768;1,590811721;1,536692498;1,376581761;1,208133059
91,4;1,839911062;1,853736406;1,683506087;1,640446581;1,734569314;1,741599363;1,600788774;1,739528496;2,017351688;1,952849622;1,893949798;1,645431195;2,371905961;2,223430228;2,14659225;2,072996813;1,796114036;1,745866859;1,686012927;1,679001043;1,531888421;1,4366956;1,437835835;1,330205234;1,668901023;1,484157865;1,500724804;1,36120648;1,617761501;1,538461538;1,34399285;1,178759442
91,5;1,854080153;1,805687255;1,64237939;1,673711248;1,701635259;1,712952366;1,560234989;1,707891457;2,012078103;2,019204569;1,903236003;1,624272017;2,430996942;2,151522087;2,087179878;2,063673719;1,771190967;1,737112484;1,685685948;1,614169762;1,529389966;1,456146661;1,452004926;1,298161288;1,627902882;1,504103587;1,470969711;1,36208569;1,553133675;1,576038976;1,37083238;1,188200961
91,6;1,845578698;1,792717087;1,72823682;1,630753469;1,690045668;1,652661064;1,590371557;1,70147631;1,989449476;1,983345868;1,940375372;1,641543777;2,346368059;2,230542022;2,109559777;2,07929605;1,741531243;1,799445589;1,722978326;1,686503395;1,555481217;1,423197235;1,452658885;1,350932072;1,684243886;1,478490229;1,513694972;1,381486447;1,586175326;1,527141985;1,418326085;1,187151904
